DATE	ELAPSED_TIME_DAYS	PROVINCE_STATE	CONFIRMED	DEATHS	RECOVERED	PEOPLE_TESTED	PEOPLE_HOSPITALIZED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE
2020-04-13 23:59:00	1	West Virginia	611	8	85.0	16655.0	164.0	46.18298742704071	1258.8832333835726	26.84124386252045
2020-04-13 23:59:00	1	Wisconsin	3428	154		40197.0	993.0	66.24703767713304	776.8180202764635	28.96732788798133
2020-04-13 23:59:00	1	Wyoming	275	1	138.0	5964.0	41.0	55.30528517416137	1199.4208028316307	14.909090909090908
2020-04-13 23:59:00	1	Recovered	0	0	43482.0					
2020-04-14 23:59:00	2	Alabama	4041	114		67557.0	493.0	84.30554137	1377.8187035569738	12.4715406
2020-04-14 23:59:00	2	Alaska	285	9	98.0	8348.0	32.0	47.67887525	1396.572809	11.22807018
2020-04-14 23:59:00	2	American Samoa	0	0		3.0		0.0	5.391707554	
2020-04-14 23:59:00	2	Arizona	3809	131	249.0	55491.0	580.0	52.33065113	605.8210534	15.22709373
2020-04-14 23:59:00	2	Arkansas	1498	32	427.0	21131.0	130.0	57.85957427	816.1753431	8.67823765
2020-04-14 23:59:00	2	California	24435	776		202208.0	5163.0	64.66945279	515.7233282	20.36204449
2020-04-14 23:59:00	2	Colorado	7950	327		38742.0	1493.0	140.290495	683.6646982999999	18.7798742
2020-04-14 23:59:00	2	Connecticut	13989	671		45841.0	1779.0	392.3667295	1285.759043	12.71713489
2020-04-14 23:59:00	2	Delaware	1926	61	277.0	12304.0	204.0	197.7891974	1263.550511	10.59190031
2020-04-14 23:59:00	2	Diamond Princess	49	0	0.0					
2020-04-14 23:59:00	2	District of Columbia	2058	67	518.0	11518.0	295.0	291.60508910000004	1632.024983	14.33430515
2020-04-14 23:59:00	2	Florida	21628	571		353087.0	3060.0	101.8622019	1643.9674254322047	14.14832624
2020-04-14 23:59:00	2	Georgia	14578	525		61795.0	2769.0	143.77586509999998	609.4546291	18.99437509
2020-04-14 23:59:00	2	Grand Princess	103	0	0.0					
2020-04-14 23:59:00	2	Guam	133	5	66.0	946.0	13.0	80.98447899	576.0249408	9.77443609
2020-04-14 23:59:00	2	Hawaii	511	9	315.0	19420.0	44.0	36.09302536	1371.676228	8.610567515
2020-04-14 23:59:00	2	Idaho	1464	33		15114.0	135.0	90.90361547	938.468063	9.221311475
2020-04-14 23:59:00	2	Illinois	23248	868		110616.0	4283.0	198.0972	942.5636562000001	18.42309016
2020-04-14 23:59:00	2	Indiana	8527	529		46017.0		130.3026867	703.19441	
2020-04-14 23:59:00	2	Iowa	1899	49	741.0	18885.0	163.0	72.46119663	720.6054230000001	8.583464982
2020-04-14 23:59:00	2	Kansas	1441	77		14147.0	327.0	59.09399595	580.1545876	22.6925746
2020-04-14 23:59:00	2	Kentucky	2048	106	629.0	26683.0	673.0	59.82526233	779.4518919	32.86132813
2020-04-14 23:59:00	2	Louisiana	21518	1013		118422.0	1977.0	468.06079960000005	2575.922298	9.187656845
2020-04-14 23:59:00	2	Maine	735	20	292.0	12342.0	124.0	62.60615363	1051.27231	16.870748300000002
2020-04-14 23:59:00	2	Maryland	9472	302	607.0	53733.0	2122.0	159.371801	904.0883612	22.4028716
2020-04-14 23:59:00	2	Massachusetts	28164	844		126551.0	2340.0	410.3283151	1843.752968	8.308478909
2020-04-14 23:59:00	2	Michigan	27001	1768	452.0	86226.0	3910.0	338.89948849999996	1082.254261	14.48094515
2020-04-14 23:59:00	2	Minnesota	1695	79	909.0	39241.0	405.0	34.26702728	793.3170604	23.89380531
2020-04-14 23:59:00	2	Mississippi	3087	111		37878.0	596.0	106.62453729999999	1308.300687	19.30677033
2020-04-14 23:59:00	2	Missouri	4815	151		47978.0	1041.0	80.99728029	818.8132141	21.93426043
2020-04-14 23:59:00	2	Montana	399	7	197.0	9234.0	50.0	46.07459465	1066.297762	12.53132832
2020-04-14 23:59:00	2	Nebraska	897	20		11357.0		58.80918289	744.5885062000001	
2020-04-14 23:59:00	2	Nevada	3134	126		26661.0		103.8884581	883.7811686000001	
2020-04-14 23:59:00	2	New Hampshire	922	25	249.0	11610.0	152.0	69.41997428	874.1495677000001	16.48590022
2020-04-14 23:59:00	2	New Jersey	68824	2805		139774.0	8185.0	774.8539493	1573.643437	11.89265373
2020-04-14 23:59:00	2	New Mexico	1345	31	304.0	31970.0	181.0	80.65807393	1917.203438	13.45724907
2020-04-14 23:59:00	2	New York	203020	10811	23887.0	499143.0	46201.0	1204.0786369999998	2960.336041	22.75687124
2020-04-14 23:59:00	2	North Carolina	5113	112		65039.0	418.0	51.55338215	655.7755568	8.175239585
2020-04-14 23:59:00	2	North Dakota	341	8	138.0	10916.0	42.0	56.23184008	1800.078494	12.31671554
2020-04-14 23:59:00	2	Northern Mariana Islands	11	2		40.0		19.947773100000003	72.53735674	
2020-04-14 23:59:00	2	Ohio	7285	434		67874.0	2156.0	65.19680755	607.4355684	29.59505834
2020-04-14 23:59:00	2	Oklahoma	2184	108	1060.0	28269.0	488.0	59.71073104	772.8766737999999	22.34432234
2020-04-14 23:59:00	2	Oregon	1633	55		32363.0	381.0	40.75292845	807.6466769	23.3312921
2020-04-14 23:59:00	2	Pennsylvania	25502	716		139078.0	2317.0	202.3039211	1061.616936	9.098763007999999
2020-04-14 23:59:00	2	Puerto Rico	923	45		12040.0		31.46510816	376.9929116565332	
2020-04-14 23:59:00	2	Rhode Island	3251	108	135.0	22900.0	331.0	306.88311160000006	2161.6804850000003	10.18148262
2020-04-14 23:59:00	2	South Carolina	3553	97		33872.0	675.0	70.49638143	672.0668257	18.99802983
2020-04-14 23:59:00	2	South Dakota	988	6	261.0	9296.0	45.0	134.25883149999999	1263.2288429999999	4.55465587
2020-04-14 23:59:00	2	Tennessee	5827	124	1969.0	78831.0	633.0	88.75952809	1200.789833	10.86322293
2020-04-14 23:59:00	2	Texas	15088	363	2580.0	146467.0	1409.0	65.28730307	637.2407982999999	9.389577502
2020-04-14 23:59:00	2	Utah	2417	18	218.0	46476.0	213.0	84.33703829999999	1621.699707	8.812577576
2020-04-14 23:59:00	2	Vermont	752	29	15.0	10585.0	64.0	123.15936529999999	1733.566332	8.510638298
2020-04-14 23:59:00	2	Virgin Islands	51	1	44.0	377.0		47.54446806	351.4561659	
2020-04-14 23:59:00	2	Virginia	6182	154	721.0	42763.0	1282.0	78.18161354	540.8088547	20.73762536
2020-04-14 23:59:00	2	Washington	10799	599		93929.0	387.0	143.04442350000002	1244.1910970000001	3.5836651539999997
2020-04-14 23:59:00	2	West Virginia	640	9	147.0	17038.0	164.0	48.37497865	1287.832635	25.625
2020-04-14 23:59:00	2	Wisconsin	3555	170		41552.0	1049.0	68.70134742	803.0037659	29.50773558
2020-04-14 23:59:00	2	Wyoming	282	1	140.0	5964.0	43.0	56.71305607	1199.420803	15.24822695
2020-04-14 23:59:00	2	Recovered	0	0	47763.0					
2020-04-15 23:59:00	3	Alabama	4307	118		70823.0	525.0	86.90743260088672	1444.4284684342929	12.883435582822086
2020-04-15 23:59:00	3	Alaska	293	9	106.0	8664.0	34.0	49.01722963986556	1449.4378075078337	11.604095563139932
2020-04-15 23:59:00	3	American Samoa	0	0		3.0		0.0	5.3917075537822825	
2020-04-15 23:59:00	3	Arizona	3964	142	385.0	57662.0	590.0	54.46014730343274	622.4998169320227	14.883955600403633
2020-04-15 23:59:00	3	Arkansas	1569	33	489.0	21834.0	130.0	60.601917245358976	843.3284009784372	8.2855321861058
2020-04-15 23:59:00	3	California	26248	872		216486.0	5163.0	68.06156401321954	552.13878988855	19.347223263134232
2020-04-15 23:59:00	3	Colorado	7956	328		39580.0	1556.0	140.39637447009457	698.4525517252819	19.55756661639015
2020-04-15 23:59:00	3	Connecticut	14755	868		50143.0	1908.0	413.85167589593766	1406.4225404574722	12.931209759403592
2020-04-15 23:59:00	3	Delaware	2014	68	354.0	13102.0	208.0	206.82629466688027	1345.5005524952658	10.327706057596822
2020-04-15 23:59:00	3	Diamond Princess	49	0	0.0					
2020-04-15 23:59:00	3	District of Columbia	2197	72	530.0	11525.0	313.0	311.3004765150216	1633.0168374308716	14.246700045516613
2020-04-15 23:59:00	3	Florida	22511	596		369927.0	3344.0	106.020900119373	1722.3741961269009	14.854959797432365
2020-04-15 23:59:00	3	Georgia	14987	552		64090.0	2922.0	147.8096371252204	632.0891201278025	19.496897311002872
2020-04-15 23:59:00	3	Grand Princess	103	0	0.0					
2020-04-15 23:59:00	3	Guam	135	5	73.0	978.0	9.0	82.20229070383428	595.5099282099994	6.666666666666668
2020-04-15 23:59:00	3	Hawaii	524	9	333.0	19803.0	45.0	37.011243224611626	1398.7283388873745	8.587786259541986
2020-04-15 23:59:00	3	Idaho	1473	39		15398.0	141.0	91.46244916941791	956.1023708830256	9.572301425661914
2020-04-15 23:59:00	3	Illinois	24593	949		116929.0	4283.0	209.5580024392337	996.3569986263228	17.415524742812995
2020-04-15 23:59:00	3	Indiana	8960	567		48396.0		136.9194409408077	739.5483553316217	
2020-04-15 23:59:00	3	Iowa	1995	53	908.0	19869.0	171.0	76.12432189255367	758.1524569840344	8.571428571428571
2020-04-15 23:59:00	3	Kansas	1504	73		14668.0	342.0	61.67756412990345	601.5202863413722	22.739361702127663
2020-04-15 23:59:00	3	Kentucky	2210	115	653.0	27697.0	687.0	64.55753405409921	809.0724075549257	31.08597285067873
2020-04-15 23:59:00	3	Louisiana	21951	1103		121928.0	1943.0	477.4794410416974	2652.1850160508443	8.851532959774044
2020-04-15 23:59:00	3	Maine	770	24	305.0	14846.0	126.0	65.58739904225362	1264.5591249107754	16.363636363636363
2020-04-15 23:59:00	3	Maryland	10032	311	607.0	55763.0	2231.0	168.79411979974208	938.244268579846	22.238835725677827
2020-04-15 23:59:00	3	Massachusetts	29918	1108		132023.0	3454.0	435.88277699200967	1923.475896343876	11.54488936426232
2020-04-15 23:59:00	3	Michigan	28059	1921	452.0	89697.0	3918.0	352.17883590830917	1125.8200593202755	13.963434192237784
2020-04-15 23:59:00	3	Minnesota	1809	87	940.0	40242.0	445.0	36.571712296060646	813.5538121714055	24.59922609176341
2020-04-15 23:59:00	3	Mississippi	3360	122		38151.0	645.0	116.0539180977105	1317.7300682576645	19.196428571428573
2020-04-15 23:59:00	3	Missouri	4876	154		49012.0	1024.0	81.76526967691198	836.4599034449616	21.3734084742225
2020-04-15 23:59:00	3	Montana	404	7	209.0	9583.0	51.0	46.651970526116436	1106.5985979004304	12.623762376237625
2020-04-15 23:59:00	3	Nebraska	901	20		11729.0		59.071431193911636	768.9775987496	
2020-04-15 23:59:00	3	Nevada	3211	131		27655.0		106.4409186603759	916.7311135324496	
2020-04-15 23:59:00	3	New Hampshire	1139	32	365.0	12166.0	178.0	85.7585148643073	916.0123721151558	15.62774363476734
2020-04-15 23:59:00	3	New Jersey	71030	3156		144021.0	8270.0	799.6901665017299	1621.458221452142	11.642967760101365
2020-04-15 23:59:00	3	New Mexico	1484	36	340.0	32850.0	181.0	88.99374105340044	1969.976006471836	12.196765498652294
2020-04-15 23:59:00	3	New York	214454	11569	23887.0	526012.0	46201.0	1271.8918333849808	3119.6917150647723	21.5435478004607
2020-04-15 23:59:00	3	North Carolina	5340	130		67827.0	431.0	53.842178894168356	683.8864172012654	8.071161048689138
2020-04-15 23:59:00	3	North Dakota	365	9	142.0	11317.0	44.0	60.189506248165465	1866.2044992068177	12.054794520547945
2020-04-15 23:59:00	3	Northern Mariana Islands	13	2		40.0		23.574640940084144	72.53735673872046	
2020-04-15 23:59:00	3	Ohio	7794	470		71552.0	2237.0	69.75208209159592	640.3516779340354	28.701565306646142
2020-04-15 23:59:00	3	Oklahoma	2263	123	1115.0	29219.0	510.0	61.87059722213869	798.8497482252188	22.536456031816172
2020-04-15 23:59:00	3	Oregon	1663	58		33351.0	401.0	41.50160441259632	832.3030720171378	24.113048707155738
2020-04-15 23:59:00	3	Pennsylvania	26792	803		143470.0	2395.0	212.53629693019985	1093.0211145234036	8.952267035472659
2020-04-15 23:59:00	3	Puerto Rico	974	51		13090.0		33.20370026944769	409.87020046378893	
2020-04-15 23:59:00	3	Rhode Island	3251	125	168.0	25897.0	331.0	306.8831116116225	2444.586878316268	10.181482620732082
2020-04-15 23:59:00	3	South Carolina	3656	106		34733.0	675.0	72.54004236132123	689.1502438008125	18.462800875273523
2020-04-15 23:59:00	3	South Dakota	1168	6	329.0	9859.0	51.0	158.7189424535122	1339.7346349736106	4.366438356164384
2020-04-15 23:59:00	3	Tennessee	5827	124	2196.0	80896.0	663.0	88.75952809238302	1232.2448574843688	11.378067616269092
2020-04-15 23:59:00	3	Texas	16044	406	3150.0	151810.0	1538.0	69.20732573487047	660.4868372295648	9.668699314767084
2020-04-15 23:59:00	3	Utah	2548	20	218.0	47614.0	221.0	88.90805692627958	1661.408250583939	8.673469387755103
